책이름,저자,가격,책커버이미지
데이터 메시,"세막 데그하니 지음, 이헌효 옮김 | 한빛미디어","34,200",https://image.aladin.co.kr/product/32956/13/cover/k832936241_1.jpg
기계의 반칙,"넬로 크리스티아니니 지음, 김정민 옮김 | 한빛미디어","15,750",https://image.aladin.co.kr/product/32951/49/cover/k242936141_1.jpg
"Crafting Interpreters 로버트 나이스트롬의 인터프리터 in Java, C","로버트 나이스트롬 지음, 이일웅 옮김 | 길벗","49,500",https://image.aladin.co.kr/product/32951/45/cover/k102936141_1.jpg
프로덕트 : 유저를 사로잡는 서비스 기획의 모든 것,홍석희 지음 | 한빛미디어,"19,800",https://image.aladin.co.kr/product/32929/51/cover/k662936846_1.jpg
챗GPT로 완성하는 엑셀 업무 자동화 with MS 파워 오토메이트,김성준 지음 | 프리렉,"21,600",https://image.aladin.co.kr/product/32472/56/cover/8965403685_1.jpg
Release의 모든 것,"마이클 나이가드 지음, 박성철 옮김 | 한빛미디어","32,400",https://image.aladin.co.kr/product/32925/48/cover/k022936849_1.jpg
스티븐 울프럼의 챗GPT 강의,"스티븐 울프럼 지음, 박해선 옮김 | 한빛미디어","18,000",https://image.aladin.co.kr/product/32698/95/cover/k772936663_1.jpg
머신 러닝 교과서: 파이토치 편,"세바스찬 라시카.유시 (헤이든) 류.바히드 미자리리 지음, 박해선 옮김 | 길벗","52,200",https://image.aladin.co.kr/product/32934/94/cover/k852936945_1.jpg
"안녕하세요, 오늘부터 매니저입니다","윌 라슨 지음, 장현희 옮김 | 길벗","19,800",https://image.aladin.co.kr/product/32918/52/cover/k562936835_1.jpg
모니터링의 새로운 미래 관측 가능성,정현석.진미란 지음 | 제이펍,"34,200",https://image.aladin.co.kr/product/32918/39/cover/k292936835_1.jpg
신비로운 전자부품 매크로 포토그래피,"윈델 H. 오스케이.에릭 슐래퍼 지음, 이하영 옮김 | 한빛미디어","35,100",https://image.aladin.co.kr/product/32904/9/cover/k552936734_1.jpg
헤드 퍼스트 C#,"앤드류 스텔만.제니퍼 그린 지음, 이수겸 옮김, 이재윤 외 감수 | 한빛미디어","37,800",https://image.aladin.co.kr/product/32882/3/cover/k042936214_1.jpg
2024 알기사 정보보안기사 (산업기사) 필기 + 핵심기출 1200제,조현준 지음 | 탑스팟,"42,300",https://image.aladin.co.kr/product/32858/37/cover/k122936019_1.jpg
2024 이기적 빅데이터분석기사 실기 (Python 분석),나홍석 외 지음 | 영진.com(영진닷컴),"22,500",https://image.aladin.co.kr/product/32848/94/cover/8931467680_1.jpg
좋아하는 일로 먹고삽니다,김인숙 지음 | 길벗,"15,300",https://image.aladin.co.kr/product/32832/0/cover/k042936308_1.jpg
실전 피그마,"김범용(스무, SMU) 지음 | 길벗","23,400",https://image.aladin.co.kr/product/32827/57/cover/k342936901_1.jpg
